FOODID;EUFDNAME;BESTLOC;ACQTYPE;METHTYPE;METHIND
1;ENERC;1698,30;S;S;MI0107
1;FAT;0;F;E;MIR003
1;CHOAVL;99,900;S;S;MI0181
1;CHOCDF;99,880;S;S;MI0131
1;PROT;0;L;P;MIR003
1;ALC;0;F;U;MIR007
1;ASH;0,020;D;AG;MI1018
1;WATER;0,10;F;E;MIR003
1;OA;0;S;IG;MIR003
1;SUGOH;0;S;U;MIR007
1;SUGAR;99,900;S;S;MI0151
1;FRUS;0;S;IG;MIR003
1;GALS;0;S;U;MIR007
1;GLUS;0;S;IG;MIR003
1;LACS;0;S;U;MIR003
1;MALS;0;S;IG;MIR007
1;SUCS;99,900;S;CG;MIR002
1;STARCH;0;S;U;MIR003
1;FIBC;0;S;U;MIR003
1;FIBT;0;S;S;MI0172
1;FIBINS;0;S;S;MIR006
1;PSACNCS;0;S;U;MIR003
1;FOL;0;F;E;MIR003
1;NIAEQ;0;F;E;MIR003
1;NIA;0;S;I;MIR003
1;VITPYRID;0;S;S;MIR005
1;RIBF;0;F;E;MIR003
1;THIA;0;F;E;MIR003
1;VITA;0;S;S;MI0324
1;RETOL;0;S;U;MIR003
1;CAROTENS;0;S;S;MI0302
1;CARTB;0;S;U;MIR003
1;VITB12;0;F;E;MIR003
1;VITC;0;F;E;MIR003
1;VITD;0;F;E;MIR003
1;VITE;0;S;S;MI0368
1;VITK;0;S;IG;MIR003
1;CA;0,40;F;E;MIR003
1;CR;1,00;F;E;MIR003
1;CU;0,0100;F;E;MIR003
1;FD;0,050;F;E;MIR003
1;FE;0,060;F;E;MIR003
1;ID;5,00;F;E;MIR003
1;K;2,00;F;E;MIR003
1;MG;0,100;F;E;MIR003
1;MN;0,0100;F;E;MIR003
1;MO;0,0100;F;E;MIR003
1;NA;0,10;F;E;MIR003
1;NACL;0,25;S;T;MIR005
1;NT;0;S;U;MIR007
1;P;0,1;F;E;MIR003
1;SE;0,500;D;AG;MI1006
1;ZN;0,010;F;E;MIR003
1;FAFRE;0;S;S;MI0202
1;FACIDCTG;0;S;S;MIR005
1;FAPU;0;S;S;MI0213
1;FAMCIS;0;S;S;MI0210
1;FASAT;0;S;S;MI0209
1;FATRN;0;S;S;MIR006
1;FAPUN3;0;S;S;MI0216
1;FAPUN6;0;S;S;MIR006
1;FAS18;0;S;S;MIR006
1;F16D0T;0;S;S;MIR006
1;F18D1T;0;S;S;MIR006
1;F18D2CN6;0;S;U;MIR003
1;F18D3N3;0;S;U;MIR003
1;F20D4N6;0;S;U;MIR003
1;F20D5N3;0;S;U;MIR003
1;F22D6N3;0;S;U;MIR003
1;CHOLE;0;S;IG;MIR003
1;STERT;0;S;S;MIR006
1;TRP;0;S;IG;MIR003
1;MYRIC;0;S;IG;MIR003
1;QUERCE;0;S;IG;MIR003
2;ENERC;1696,60;S;S;MI0107
2;FAT;0;F;E;MIR003
2;CHOAVL;99,800;S;S;MI0181
2;CHOCDF;99,700;S;S;MI0131
2;PROT;0;S;S;MI0123
2;ALC;0;F;E;MIR003
2;ASH;0;F;E;MIR003
2;WATER;0,30;S;I;MIR003
2;OA;0;S;IG;MIR003
2;SUGOH;0;S;U;MIR007
2;SUGAR;99,800;S;S;MI0151
2;FRUS;99,800;E;E;MIR003
2;GLUS;0;S;U;MIR003
2;LACS;0;S;U;MIR003
2;MALS;0;S;U;MIR003
2;SUCS;0;S;U;MIR003
2;STARCH;0;S;U;MIR003
2;FIBC;0;S;U;MIR003
2;FIBT;0;S;S;MI0172
2;FIBINS;0;S;S;MIR006
2;PSACNCS;0;S;U;MIR003
2;FOL;0;F;E;MIR003
2;NIAEQ;0;F;E;MIR003
2;NIA;0;S;I;MIR003
2;VITPYRID;0;S;S;MIR005
2;RIBF;0;F;E;MIR003
2;THIA;0;F;E;MIR003
2;VITA;0;S;S;MI0324
2;RETOL;0;S;U;MIR003
2;CAROTENS;0;S;S;MI0302
2;CARTB;0;S;U;MIR003
2;VITB12;0;F;E;MIR003
2;VITC;0;F;E;MIR003
2;VITD;0;F;E;MIR003
2;VITE;0;S;S;MI0368
2;VITK;0;S;K;MIR003
2;CA;0,10;F;E;MIR003
2;CR;1,00;F;E;MIR003
2;CU;0,0100;F;E;MIR003
2;FD;0,060;F;E;MIR003
2;FE;0,070;F;E;MIR003
2;ID;5,00;F;E;MIR003
2;K;0,30;F;E;MIR003
2;MG;0;F;E;MIR003
2;MN;0,0100;F;E;MIR003
2;MO;0,0100;F;E;MIR003
2;NA;0,10;F;E;MIR003
2;NACL;0,25;S;S;MIR005
2;NT;0;F;E;MIR007
2;P;0,1;F;E;MIR003
2;SE;0,500;D;AG;MI1006
2;ZN;0,010;F;E;MIR003
2;FAFRE;0;S;S;MI0202
2;FACIDCTG;0;S;S;MIR005
2;FAPU;0;S;S;MI0213
2;FAMCIS;0;S;S;MI0210
2;FASAT;0;S;S;MI0209
2;FATRN;0;S;S;MIR006
2;FAPUN3;0;S;S;MI0216
2;FAPUN6;0;S;S;MIR006
2;FAS18;0;S;S;MIR006
2;F16D0T;0;S;S;MIR006
2;F18D1T;0;S;S;MIR006
2;F18D2CN6;0;S;U;MIR003
2;F18D3N3;0;S;U;MIR003
2;F20D4N6;0;S;U;MIR003
2;F20D5N3;0;S;U;MIR003
2;F22D6N3;0;S;U;MIR003
2;CHOLE;0;S;IG;MIR003
2;STERT;0,50;S;S;MIR006
2;TRP;0;S;IG;MIR003
2;MYRIC;0;S;IG;MIR003
2;QUERCE;0;S;IG;MIR003
3;ENERC;1261,40;S;S;MI0107
3;FAT;0;F;E;MIR003
3;CHOAVL;74,100;S;S;MI0181
3;CHOCDF;79,300;S;S;MIR004
3;PROT;0,10;I;E;MIR003
3;ALC;0;F;E;MIR003
3;ASH;1,100;D;AG;MI1018
3;WATER;19,50;I;E;MIR003
3;OA;0;S;IG;MIR003
3;SUGOH;0;L;P;MIR006
3;SUGAR;74,100;S;S;MI0151
3;FRUS;21,700;I;E;MIR003
3;GLUS;24,200;I;E;MIR003
3;LACS;0;S;U;MIR003
3;MALS;0;S;U;MIR003
3;SUCS;28,200;I;E;MIR003
3;STARCH;0;S;U;MIR003
3;FIBC;0;S;U;MIR003
3;FIBT;0;S;S;MI0172
3;FIBINS;0;S;S;MIR006
3;PSACNCS;0;S;U;MIR003
3;FOL;0;F;E;MIR003
3;NIAEQ;0;S;S;MI0421
3;NIA;0;S;I;MIR003
3;VITPYRID;0;S;S;MIR005
3;RIBF;0,010;F;E;MIR003
3;THIA;0;F;E;MIR003
3;VITA;0;S;S;MI0324
3;RETOL;0;S;U;MIR003
3;CAROTENS;0;S;S;MI0302
3;CARTB;0;S;U;MIR003
3;VITB12;0;F;E;MIR003
3;VITC;0;F;E;MIR003
3;VITD;0;F;E;MIR003
3;VITE;0;S;S;MI0368
3;VITK;0;S;IG;MIR003
3;CA;74,00;F;E;MIR003
3;CR;5,00;F;E;MIR003
3;CU;0,2400;F;E;MIR003
3;FD;0,080;F;E;MIR003
3;FE;2,500;F;E;MIR003
3;ID;5,00;F;E;MIR003
3;K;220,00;F;E;MIR003
3;MG;34,000;F;E;MIR003
3;MN;0,1100;F;E;MIR003
3;MO;0,0100;F;E;MIR003
3;NA;50,00;I;E;MIR003
3;NACL;127,40;S;S;MIR005
3;NT;0,016;L;P;MIR002
3;P;2,0;F;E;MIR003
3;SE;1,000;D;AG;MI1006
3;ZN;0,130;F;E;MIR003
3;FAFRE;0;S;S;MI0202
3;FACIDCTG;0;S;S;MIR005
3;FAPU;0;S;S;MI0213
3;FAMCIS;0;S;S;MI0210
3;FASAT;0;S;S;MI0209
3;FATRN;0;S;S;MIR006
3;FAPUN3;0;S;S;MI0216
3;FAPUN6;0;S;S;MIR006
3;FAS18;0;S;S;MIR006
3;F16D0T;0;S;S;MIR006
3;F18D1T;0;S;S;MIR006
3;F18D2CN6;0;S;U;MIR003
3;F18D3N3;0;S;U;MIR003
3;F20D4N6;0;S;U;MIR003
3;F20D5N3;0;S;U;MIR003
3;F22D6N3;0;S;U;MIR003
3;CHOLE;0;S;IG;MIR003
3;STERT;0;S;S;MIR006
3;TRP;0;S;IG;MIR003
3;MYRIC;0;S;IG;MIR003
3;QUERCE;0;S;IG;MIR003
4;ENERC;1382,10;S;S;MI0107
4;FAT;0;F;E;MIR003
4;CHOAVL;80,800;S;S;MI0181
4;CHOCDF;81,320;S;S;MIR004
4;PROT;0,50;S;S;MI0123
4;ALC;0;F;E;MIR003
4;ASH;0,180;D;AG;MI1018
4;WATER;18,00;F;E;MIR003
4;OA;0;S;IG;MIR003
4;SUGAR;80,800;S;S;MI0151
4;FRUS;41,400;E;E;MIR003
4;GLUS;37,900;E;E;MIR003
4;LACS;0;S;U;MIR003
4;MALS;0;S;U;MIR003
4;SUCS;1,500;E;E;MIR003
4;STARCH;0;S;U;MIR003
4;FIBC;0;S;U;MIR003
4;FIBT;0;S;S;MI0172
4;FIBINS;0;S;S;MIR006
4;PSACNCS;0;S;U;MIR003
4;FOL;0;F;E;MIR003
4;NIAEQ;0,200;S;S;MI0421
4;NIA;0,2;F;E;MIR003
4;VITPYRID;0;S;S;MIR005
4;RIBF;0,040;F;E;MIR003
4;THIA;0,0100;F;E;MIR003
4;VITA;0;S;S;MI0324
4;RETOL;0;S;U;MIR003
4;CAROTENS;0;S;S;MI0302
4;CARTB;0;S;U;MIR003
4;VITB12;0;F;E;MIR003
4;VITC;4,00;F;E;MIR003
4;VITD;0;F;E;MIR003
4;VITE;0;S;S;MI0368
4;VITK;0,020;F;E;MIR003
4;CA;5,00;F;E;MIR003
4;CR;5,00;F;E;MIR003
4;CU;0,0300;F;E;MIR003
4;FD;0,080;F;E;MIR003
4;FE;0,500;F;E;MIR003
4;ID;5,00;F;E;MIR003
4;K;60,00;F;E;MIR003
4;MG;3,000;F;E;MIR003
4;MN;0,3700;F;E;MIR003
4;MO;0,0100;F;E;MIR003
4;NA;2,20;F;E;MIR003
4;NACL;5,61;S;S;MIR005
4;NT;0,080;F;E;MIR003
4;P;7,0;F;E;MIR003
4;SE;0,500;D;AG;MI1006
4;ZN;0,100;F;E;MIR003
4;FAFRE;0;S;S;MI0202
4;FACIDCTG;0;S;S;MIR005
4;FAPU;0;S;S;MI0213
4;FAMCIS;0;S;S;MI0210
4;FASAT;0;S;S;MI0209
4;FATRN;0;S;S;MIR006
4;FAPUN3;0;S;S;MI0216
4;FAPUN6;0;S;S;MIR006
4;FAS18;0;S;S;MIR006
4;F16D0T;0;S;S;MIR006
4;F18D1T;0;S;S;MIR006
4;F18D2CN6;0;S;U;MIR003
4;F18D3N3;0;S;U;MIR003
4;F20D4N6;0;S;U;MIR003
4;F20D5N3;0;S;U;MIR003
4;F22D6N3;0;S;U;MIR003
4;CHOLE;0;S;IG;MIR003
4;STERT;0,50;S;S;MIR006
4;TRP;0;S;IG;MIR003
4;MYRIC;0;S;IG;MIR003
4;QUERCE;0;S;IG;MIR003
5;ENERC;1487,50;S;S;MI0107
5;FAT;0;F;E;MIR003
5;CHOAVL;87,000;S;S;MI0181
5;CHOCDF;88,600;S;S;MI0131
5;PROT;0,5;S;I;MIR003
5;ALC;0;F;E;MIR003
5;ASH;0,900;F;E;MIR003
5;WATER;10;S;CG;MIR003
5;SUGOH;0;S;CG;MIR006
5;SUGAR;53,500;S;S;MI0151
5;FRUS;0;S;U;MIR003
5;GLUS;9,300;S;IG;MIR003
5;LACS;0;S;U;MIR003
5;MALS;6,80;S;IG;MIR003
5;SUCS;37,4;S;CG;MIR003
5;STARCH;33,50;S;IG;MIR003
5;FIBC;0;S;U;MIR003
5;FIBT;0;S;S;MI0172
5;FIBINS;0;S;S;MIR006
5;PSACNCS;0;S;U;MIR003
5;FOL;0;F;E;MIR003
5;NIAEQ;0;F;E;MIR003
5;NIA;0;S;I;MIR003
5;VITPYRID;0;S;S;MIR005
5;RIBF;0;F;E;MIR003
5;THIA;0;F;E;MIR003
5;VITA;0;S;S;MI0324
5;RETOL;0;S;U;MIR003
5;CAROTENS;0;S;S;MI0302
5;CARTB;0;S;U;MIR003
5;VITB12;0;F;E;MIR003
5;VITC;0;F;E;MIR003
5;VITD;0;F;E;MIR003
5;VITE;0;S;S;MI0368
5;VITK;0;S;IG;MIR003
5;CA;7,00;F;E;MIR003
5;CR;26,00;F;E;MIR003
5;CU;0,1750;F;E;MIR003
5;FD;0,080;F;E;MIR003
5;FE;1,450;F;E;MIR003
5;ID;12,00;F;E;MIR003
5;K;100,00;F;E;MIR003
5;MG;28,000;F;E;MIR003
5;MN;0,2560;F;E;MIR003
5;MO;0,0100;F;E;MIR003
5;NA;100,00;F;E;MIR003
5;NACL;254,80;S;S;MIR005
5;NT;0,08;S;CG;MI1039
5;P;4,0;F;E;MIR003
5;SE;1,000;D;A;MI1006
5;ZN;0,290;F;E;MIR003
5;FAFRE;0;S;S;MI0202
5;FACIDCTG;0;S;S;MIR005
5;FAPU;0;S;S;MI0213
5;FAMCIS;0;S;S;MI0210
5;FASAT;0;S;S;MI0209
5;FATRN;0;S;S;MIR006
5;FAPUN3;0;S;S;MI0216
5;FAPUN6;0;S;S;MIR006
5;FAS18;0;S;S;MIR006
5;F16D0T;0;S;S;MIR006
5;F18D1T;0;S;S;MIR006
5;F18D2CN6;0;S;U;MIR003
5;F18D3N3;0;S;U;MIR003
5;F20D4N6;0;S;U;MIR003
5;F20D5N3;0;S;U;MIR003
5;F22D6N3;0;S;U;MIR003
5;CHOLE;0;S;U;MIR003
5;STERT;1,70;S;S;MIR006
5;TRP;0;S;IG;MIR003
6;ENERC;2270,15;S;R;MI0002
6;FAT;34,362;S;R;MI0002
6;CHOAVL;47,774;S;R;MI0002
6;CHOCDF;51,679;S;R;MI0002
6;PROT;9,58;S;R;MI0002
6;ALC;0;F;E;MIR003
6;ASH;2,100;D;AG;MI1018
6;WATER;2,00;F;E;MIR003
6;OA;0,002;S;R;MI0002
6;SUGOH;0;S;R;MI0002
6;SUGAR;45,772;S;R;MI0002
6;FRUS;0;S;R;MI0002
6;GALS;0;S;R;MI0002
6;GLUS;0;S;R;MI0002
6;LACS;12,962;S;R;MI0002
6;MALS;0;S;R;MI0002
6;SUCS;32,811;S;R;MI0002
6;STARCH;2,00;S;R;MI0002
6;FIBC;2,200;S;CG;MIR003
6;FIBT;2,200;S;S;MI0172
6;FIBINS;2,00;S;S;MIR006
6;PSACNCS;0,20;S;IG;MIR003
6;FOL;7,00;F;E;MIR003
6;NIAEQ;2,571;S;S;MI0421
6;NIA;0,477;S;R;MI0002
6;VITPYRID;0,08;S;S;MIR005
6;RIBF;0,090;F;E;MIR003
6;THIA;0,0700;F;E;MIR003
6;VITA;81,340;S;R;MI0002
6;RETOL;77,92;S;R;MI0002
6;CAROTENS;45,2;S;R;MI0002
