id	scientific	en	fi	raw	category	energy	fat	sugar	fiber
100	SECALE CEREALE	FLOUR, RYE, WHOLEGRAIN RYE FLOUR	JAUHO, RUISJAUHO, TÄYSJYVÄJAUHO	true	Viljat	323.8001912045889	1.93	1.891	13.9
103	SECALE CEREALE	RYE FLAKES	RUISHIUTALE	true	Viljat	294.3881453154876	2	2.4	13.9
110	TRITICUM SPP.	FLOUR, WHEAT FLOUR, SEMI-COARSE	JAUHO, VEHNÄJAUHO, PUOLIKARKEA	true	Viljat	368.2815487571702	1.56	1.198	3.5
111	TRITICUM SPP.	FLOUR, WHOLE WHEAT FLOUR, GRAHAM FLOUR	JAUHO, GRAHAMJAUHO	true	Viljat	343.8838432122371	2.46	1.523	9.9
112	TRITICUM SPP.	SEMOLINA	MANNASUURIMO	true	Viljat	321.5583173996176	1.1	0.4	3.5
113	TRITICUM SPP.	SEMOLINA, WHOLE WHEAT	MANNASUURIMO, TUMMA	true	Viljat	308.3173996175908	1.1	0.5	5.5
114	TRITICUM SPP.	WHEAT FLAKES	VEHNÄHIUTALE	true	Viljat	335.038240917782	2.2	0.7	12.9
115	TRITICUM SPP.	WHEAT GERM	VEHNÄNALKIO	true	Viljat	360.4899617590822	10	16.4	14
116	TRITICUM SPP.	WHEAT BRAN	LESE, VEHNÄLESE	true	Viljat	241.38623326959848	4.62	2.107	37.5
124	TRITICUM SPP.	FLOUR, DARK WHEAT FLOUR	JAUHO, HIIVALEIPÄVEHNÄJAUHO	true	Viljat	363.32456978967497	2.37	1.874	5.5
142	TRITICUM SPP.	FLOUR, WHEAT FLOUR, SEMI-COARSE, BAKERY INDUSTRY, FRESH	JAUHO, VEHNÄJAUHO, LEIPOMOTEOLLISUUS, VASTAJAUHETTU	true	Viljat	350.59751434034416	1.4	0.4	3.7
150	HORDEUM VULGARE	FLOUR, BARLEY FLOUR	JAUHO, OHRAJAUHO	true	Viljat	327.40200764818354	2	0.9	7.6
151	HORDEUM VULGARE	BARLEY, PEARL	OHRASUURIMO	true	Viljat	322.3231357552581	2	0.95	7.6
152	HORDEUM VULGARE	BARLEY, ROLLED, BARLEY FLAKES	OHRAHIUTALE	true	Viljat	330.4732313575526	2	0.95	9.1
153	AVENA SATIVA	OATS, ROLLED, OAT FLAKES	KAURAHIUTALE	true	Viljat	382.14866156787764	7.24	1.19	10
156	ORYZA SATIVA	RICE, WHITE	RIISI PUUROUTUVA	true	Viljat	342.3804971319311	0.7	0.4	2.3
158	ORYZA SATIVA	RICE, WHOLEGRAIN	TÄYSJYVÄRIISI	true	Viljat	362.1343212237094	2.92	1.35	7.4
160	PANICUM MILIACEUM	FLOUR, MILLET, WHOLE OR CRUSHED GRAINS	JAUHO, HIRSSISUURIMO TAI -JAUHO	true	Viljat	357.0148183556405	2.9	0.6	3.2
161	FAGOPYRUM ESCULENTUM	FLOUR, BUCKWHEAT, WHOLE OR CRUSHED GRAINS	JAUHO, TATTARISUURIMO TAI -JAUHO	true	Viljat	327.2108030592734	2	0.45	5.8
